nom,codi_centre,adreca,cp,CUSEC,zona,ist_entorn,tipus,naturalesa,lat,lon,cmc_actual,cmc_2019-2020,cmc_2020-2021,cmc_2021-2022,cmc_2022-2023,cmc_2023-2024,cmc_2024-2025
Sagrat Cor de Jesús,8029881,"c. Pare Font, 42",8223,0827903006,08279Z04,116,CEIP,Concertat,41.556100,2.014277,,,,,,,
Institut Escola Sala i Badrinas,8076820,"ctra. de Rubí, 227/c.Germà Joaquim, 128",8222,0827903003,08279Z04,89.3,IE,Públic,41.554570,2.020981,,,,,,,
Escola Salvador Vinyals i Galí,8030297,"c. la Rioja, 30",8227,0827902015,08279Z03,56.2,CEIP,Públic,41.558830,2.039948,CMC,CMC,CMC,CMC,CMC,CMC,CMC
Sant Domènec Savio,8029763,"c. Maria Auxiliadora, 45",8224,0827904008,08279Z01,99.7,CEIP,Concertat,41.556810,1.995235,,,,,,,
Sant Josep,8029581,"c. Borges Blanques, 26-28",8227,0827906023,08279Z03,87.9,CEIP,Concertat,41.577160,2.034456,,,,,,,
Escola Sant Llorenç del Munt,8051318,"c. Castellsapera, 81 bis",8227,0827906018,08279Z03,71.9,CEIP,Públic,41.577400,2.031007,CMC,CMC,CMC,CMC,CMC,CMC,CMC
Santa Teresa de Jesús,8029805,"c. Major de Sant Pere, 19",8222,0827901018,08279Z02,114.7,CEIP,Concertat,41.567620,2.018235,,,,,,,
Escola Serra de l'Obac,8065512,"av. Lacetània, 64",8225,0827905029,08279Z02,114.9,CEIP,Públic,41.583400,2.008941,,,,,,,
Tecnos,8029684,"c. Topete, 34",8221,0827901009,08279Z01,120.1,CEIP,Concertat,41.561610,2.016724,,,,,,,
Vedruna Vall Terrassa,8030111,"c. de la Vall, 21",8221,0827901008,08279Z01,117.5,CEIP,Concertat,41.560980,2.010874,,,,,,,
